course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,W,Summer2019
MAT116,Pre-Calculus,3,B,Summer2019
EEE111L,Analog Electronics I Lab,1,A,Summer2019
MAT120,Calculus I,3,B,Fall2019
CSE115,Programming Language I,3,B+,Fall2019
CSE115L,Programming Language I Lab,1,W,Fall2019
CSE173,Discrete Mathematics,3,C,Spring2020
MAT130,Calculus II,3,C,Spring2020
PHY107,Physics I,3,C,Spring2020
PHY107L,Physics I Lab,1,W,Spring2020
CSE215L,Programming Language II Lab,1,B,Spring2020
CSE215,Programming Language II,3,W,Summer2020
MAT250,Calculus III,3,B,Summer2020
CSE215,Programming Language II,3,W,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,C,Fall2020
CSE215,Programming Language II,3,W,Spring2021
CSE231L,Digital Logic Design Lab,1,W,Spring2021
ECO101,Intro to Microeconomics,3,B,Spring2021
CSE215,Programming Language II,3,B,Summer2021
CSE231L,Digital Logic Design Lab,1,F,Summer2021
CSE226,Fundamentals of Vibe Coding,3,C+,Summer2021
CSE327,Software Engineering,3,C,Summer2021
CSE225,Data Structures & Algorithms,3,D,Fall2021
CSE231L,Digital Logic Design Lab,1,D,Fall2021
BIO103,Biology I,3,D,Fall2021
BIO103L,Biology I Lab,1,W,Fall2021
CSE101,Introduction to Python Programming,3,B,Fall2021
CSE231,Digital Logic Design,3,D,Spring2022
CSE299,Junior Design Project,1,C+,Spring2022
CSE332,Computer Organization & Architecture,3,W,Summer2022
CSE311,Database Management Systems,3,W,Summer2022
CSE331,Microprocessor Interfacing,3,C,Summer2022
CSE331L,Microprocessor Interfacing Lab,1,A,Summer2022
CSE332,Computer Organization & Architecture,3,B,Fall2022
CSE311,Database Management Systems,3,B,Fall2022
CSE311L,Database Management Systems Lab,1,W,Fall2022
SOC101,Intro to Sociology,3,A,Fall2022
CSE115L,Programming Language I Lab,1,C,Fall2022
