course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,C,Summer2019
ACT201,Intro to Financial Accounting,3,C,Summer2019
ENG103,Intermediate Composition,3,C,Fall2019
MIS107,Introduction to Computers,3,F,Fall2019
MKT202,Introduction to Marketing,3,F,Spring2020
ECO104,Intro to Macroeconomics,3,C,Summer2020
ACT202,Intro to Managerial Accounting,3,D,Fall2020
MKT202,Introduction to Marketing,3,B-,Fall2020
BUS251,Business Communication,3,C-,Fall2020
INB372,International Business,3,D,Spring2021
MIS207,Management Information Systems,3,D+,Summer2021
MGT368,Entrepreneurship,3,C-,Summer2021
LAW200,Legal Environment of Business,3,C,Summer2021
ENG105,Advanced Composition,3,C,Fall2021
BEN205,Bengali Literature,3,C-,Fall2021
MIS107,Introduction to Computers,3,C-,Fall2021
PHI401,Ethics / Philosophy,3,B,Spring2022
POL101,Intro to Political Science,3,C-,Spring2022
GEO205,Geography,3,F,Summer2022
SOC101,Intro to Sociology,3,D+,Fall2022
MGT212,Principles of Management,3,D+,Fall2022
BIO103,Biology I,3,D+,Fall2022
HIS101,Bangladesh History,3,C+,Spring2023
