course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,F,Fall2021
ACT201,Intro to Financial Accounting,3,F,Fall2021
LAW200,Legal Environment of Business,3,F,Fall2021
MIS107,Introduction to Computers,3,F,Fall2021
ECO101,Intro to Microeconomics,3,F,Spring2022
MIS107,Introduction to Computers,3,C-,Spring2022
BUS251,Business Communication,3,D,Spring2022
ACT201,Intro to Financial Accounting,3,C-,Spring2022
INB372,International Business,3,C-,Spring2022
MKT202,Introduction to Marketing,3,D+,Summer2022
MIS207,Management Information Systems,3,C-,Summer2022
LAW200,Legal Environment of Business,3,F,Summer2022
MGT212,Principles of Management,3,D+,Fall2022
ACT202,Intro to Managerial Accounting,3,D,Fall2022
PHI401,Ethics / Philosophy,3,F,Fall2022
MGT368,Entrepreneurship,3,I,Fall2022
LAW200,Legal Environment of Business,3,D,Spring2023
MGT368,Entrepreneurship,3,C-,Spring2023
PHI401,Ethics / Philosophy,3,F,Spring2023
ENG115,English Literature,3,D,Spring2023
ECO101,Intro to Microeconomics,3,D+,Summer2023
PAD201,Public Administration,3,C-,Summer2023
PHI401,Ethics / Philosophy,3,D,Summer2023
ENV107,Environmental Science,3,D+,Fall2023
ENV107L,Environmental Science Lab,1,F,Fall2023
ECO104,Intro to Macroeconomics,3,C-,Fall2023
PBH101,Public Health,3,D,Fall2023
GEO205,Geography,3,C-,Fall2023
ANT101,Anthropology,3,D,Fall2023
HIS102,World Civilization,3,D+,Spring2024
HIS205,Modern History,3,D+,Spring2024
HIS101,Bangladesh History,3,F,Spring2024
ECO201,Intermediate Microeconomics,3,C-,Spring2024
HIS103,History of South Asia,3,F,Spring2024
ECO244,Economic Development,3,C-,Summer2024
ECO204,Intermediate Macroeconomics,3,D+,Summer2024
ECO301,Monetary Economics,3,F,Summer2024
ECO348,Mathematical Economics,3,C-,Summer2024
