course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,I,Summer2021
ECO101,Intro to Microeconomics,3,C-,Summer2021
MIS107,Introduction to Computers,3,D+,Summer2021
LAW200,Legal Environment of Business,3,D,Summer2021
BUS251,Business Communication,3,D,Summer2021
ENG103,Intermediate Composition,3,D,Fall2021
MKT202,Introduction to Marketing,3,D,Fall2021
ECO104,Intro to Macroeconomics,3,D,Fall2021
MGT368,Entrepreneurship,3,I,Spring2022
MGT212,Principles of Management,3,D+,Spring2022
MIS207,Management Information Systems,3,F,Spring2022
INB372,International Business,3,F,Summer2022
BEN205,Bengali Literature,3,D,Summer2022
ENG105,Advanced Composition,3,D,Summer2022
MIS207,Management Information Systems,3,C-,Summer2022
ACT201,Intro to Financial Accounting,3,D+,Summer2022
INB372,International Business,3,D+,Fall2022
MGT368,Entrepreneurship,3,D+,Fall2022
POL104,Political Science,3,D,Fall2022
POL101,Intro to Political Science,3,F,Fall2022
PAD201,Public Administration,3,D+,Fall2022
ANT101,Anthropology,3,D+,Spring2023
PHI401,Ethics / Philosophy,3,I,Spring2023
GEO205,Geography,3,D,Spring2023
