course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,D+,Summer2019
MKT202,Introduction to Marketing,3,C-,Summer2019
ACT201,Intro to Financial Accounting,3,F,Summer2019
BUS251,Business Communication,3,D,Fall2019
INB372,International Business,3,D,Fall2019
ACT201,Intro to Financial Accounting,3,D,Fall2019
ECO101,Intro to Microeconomics,3,F,Spring2020
MGT212,Principles of Management,3,D,Spring2020
ACT202,Intro to Managerial Accounting,3,D,Spring2020
MIS207,Management Information Systems,3,D,Summer2020
LAW200,Legal Environment of Business,3,D+,Summer2020
MGT368,Entrepreneurship,3,I,Fall2020
PHI401,Ethics / Philosophy,3,C-,Fall2020
ECO101,Intro to Microeconomics,3,F,Spring2021
BEN205,Bengali Literature,3,C-,Summer2021
ECO101,Intro to Microeconomics,3,F,Summer2021
MGT368,Entrepreneurship,3,F,Summer2021
POL104,Political Science,3,D,Fall2021
ECO101,Intro to Microeconomics,3,F,Fall2021
ECO101,Intro to Microeconomics,3,F,Spring2022
GEO205,Geography,3,F,Summer2022
SOC101,Intro to Sociology,3,D+,Summer2022
ANT101,Anthropology,3,C-,Summer2022
