course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,A,Spring2021
MIS107,Introduction to Computers,3,F,Spring2021
ENG103,Intermediate Composition,3,C-,Spring2021
BUS251,Business Communication,3,B-,Spring2021
ECO104,Intro to Macroeconomics,3,A-,Summer2021
MIS107,Introduction to Computers,3,B,Summer2021
ACT201,Intro to Financial Accounting,3,C+,Summer2021
MIS207,Management Information Systems,3,D+,Fall2021
ACT202,Intro to Managerial Accounting,3,A,Fall2021
LAW200,Legal Environment of Business,3,C-,Fall2021
MGT368,Entrepreneurship,3,C+,Spring2022
MGT212,Principles of Management,3,F,Spring2022
INB372,International Business,3,C-,Summer2022
PHI401,Ethics / Philosophy,3,B+,Summer2022
MGT212,Principles of Management,3,W,Summer2022
MKT202,Introduction to Marketing,3,A-,Summer2022
