course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,B,Spring2023
CSE115,Programming Language I,3,B+,Spring2023
CSE115L,Programming Language I Lab,1,B-,Spring2023
CSE115L,Programming Language I Lab,1,B+,Spring2023
CSE173,Discrete Mathematics,3,B,Summer2023
MAT130,Calculus II,3,A,Summer2023
ENG103,Intermediate Composition,3,B,Summer2023
CSE215,Programming Language II,3,B-,Fall2023
CSE215L,Programming Language II Lab,1,B+,Fall2023
MAT250,Calculus III,3,C+,Fall2023
CSE331,Microprocessor Interfacing,3,A-,Fall2023
ENV203,Environmental Studies,3,A,Fall2023
