course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,A-,Fall2022
CSE115L,Programming Language I Lab,1,B-,Fall2022
MAT116,Pre-Calculus,3,A,Fall2022
HIS102,World Civilization,3,B,Fall2022
CSE226,Fundamentals of Vibe Coding,3,A,Fall2022
CSE173,Discrete Mathematics,3,A,Spring2023
MAT120,Calculus I,3,B,Spring2023
CSE327,Software Engineering,3,A-,Spring2023
ENG103,Intermediate Composition,3,B+,Spring2023
BIO103L,Biology I Lab,1,A-,Spring2023
CSE231L,Digital Logic Design Lab,1,B-,Spring2023
CSE215,Programming Language II,3,A,Summer2023
CSE215L,Programming Language II Lab,1,A-,Summer2023
MAT130,Calculus II,3,A,Summer2023
CHE101L,Chemistry I Lab,1,A,Summer2023
EEE111L,Analog Electronics I Lab,1,A-,Summer2023
CSE225,Data Structures & Algorithms,3,B-,Fall2023
CSE225L,Data Structures & Algorithms Lab,1,B+,Fall2023
MAT250,Calculus III,3,A-,Fall2023
EEE111,Analog Electronics I,3,A,Fall2023
EEE452,Engineering Economics,3,A,Fall2023
CSE231,Digital Logic Design,3,A,Spring2024
CSE299,Junior Design Project,1,A-,Spring2024
CSE311,Database Management Systems,3,A,Spring2024
CSE311L,Database Management Systems Lab,1,B+,Spring2024
ECO101,Intro to Microeconomics,3,A-,Spring2024
CSE311L,Database Management Systems Lab,1,A-,Spring2024
CSE331,Microprocessor Interfacing,3,B+,Spring2024
CSE331L,Microprocessor Interfacing Lab,1,A-,Spring2024
