course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,W,Fall2020
MKT202,Introduction to Marketing,3,C,Fall2020
ECO101,Intro to Microeconomics,3,F,Fall2020
ECO101,Intro to Microeconomics,3,W,Spring2021
ENG103,Intermediate Composition,3,B+,Summer2021
ECO101,Intro to Microeconomics,3,W,Fall2021
ECO101,Intro to Microeconomics,3,B+,Spring2022
MIS107,Introduction to Computers,3,W,Spring2022
ECO104,Intro to Macroeconomics,3,C,Summer2022
BUS251,Business Communication,3,W,Summer2022
ACT201,Intro to Financial Accounting,3,B,Summer2022
MIS107,Introduction to Computers,3,B+,Fall2022
ACT202,Intro to Managerial Accounting,3,F,Spring2023
LAW200,Legal Environment of Business,3,W,Spring2023
ACT202,Intro to Managerial Accounting,3,C+,Summer2023
LAW200,Legal Environment of Business,3,A,Summer2023
BUS251,Business Communication,3,D,Fall2023
MGT212,Principles of Management,3,B,Fall2023
MGT368,Entrepreneurship,3,W,Fall2023
