course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,C,Spring2021
CSE115,Programming Language I,3,W,Spring2021
PHY108,Physics II,3,F,Spring2021
CSE115,Programming Language I,3,D+,Summer2021
CSE115L,Programming Language I Lab,1,A,Summer2021
MAT130,Calculus II,3,C-,Summer2021
EEE141,Electrical Circuits I,3,F,Summer2021
EEE111L,Analog Electronics I Lab,1,C,Summer2021
CSE173,Discrete Mathematics,3,D,Fall2021
MAT250,Calculus III,3,C,Fall2021
CSE299,Junior Design Project,1,B,Fall2021
PHY107L,Physics I Lab,1,C,Fall2021
EEE141,Electrical Circuits I,3,A-,Fall2021
