course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,B+,Summer2020
ENG103,Intermediate Composition,3,B,Summer2020
BUS251,Business Communication,3,C-,Summer2020
LAW200,Legal Environment of Business,3,C,Summer2020
ECO101,Intro to Microeconomics,3,A-,Summer2020
ACT201,Intro to Financial Accounting,3,B,Summer2020
MGT368,Entrepreneurship,3,C,Fall2020
INB372,International Business,3,B+,Fall2020
ECO104,Intro to Macroeconomics,3,B+,Fall2020
MKT202,Introduction to Marketing,3,B-,Fall2020
MIS207,Management Information Systems,3,B,Fall2020
ENG105,Advanced Composition,3,C,Spring2021
BEN205,Bengali Literature,3,B,Spring2021
MGT212,Principles of Management,3,B-,Spring2021
ENG115,English Literature,3,C+,Spring2021
SOC101,Intro to Sociology,3,A-,Summer2021
ACT202,Intro to Managerial Accounting,3,B+,Summer2021
GEO205,Geography,3,B,Summer2021
POL104,Political Science,3,B-,Summer2021
PHI401,Ethics / Philosophy,3,B-,Summer2021
CHE101,Chemistry I,3,C-,Fall2021
CHE101L,Chemistry I Lab,1,B-,Fall2021
PBH101,Public Health,3,A-,Fall2021
ENV107,Environmental Science,3,B,Fall2021
ENV107L,Environmental Science Lab,1,C+,Fall2021
HIS102,World Civilization,3,A-,Fall2021
HIS101,Bangladesh History,3,A,Fall2021
BIO103,Biology I,3,C+,Fall2021
BIO103L,Biology I Lab,1,B-,Fall2021
FIN480,Behavioural Finance,3,B-,Spring2022
FIN433,Financial Markets and Institutions,3,B,Spring2022
FIN444,International Financial Management,3,B+,Spring2022
FIN470,Insurance and Risk Management,3,C,Spring2022
FIN435,Investment Theory,3,C+,Spring2022
FIN464,Derivatives,3,B+,Spring2022
FIN455,Financial Modelling Using Excel,3,C+,Summer2022
FIN440,Corporate Finance,3,B-,Summer2022
FIN410,Financial Statement Analysis,3,B-,Summer2022
BUS498,Internship,4,B,Spring2023
