course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,B+,Summer2019
MIS107,Introduction to Computers,3,C-,Summer2019
ACT201,Intro to Financial Accounting,3,C+,Summer2019
MKT202,Introduction to Marketing,3,D,Fall2019
BUS251,Business Communication,3,B-,Fall2019
ECO104,Intro to Macroeconomics,3,B-,Fall2019
MIS207,Management Information Systems,3,D,Spring2020
INB372,International Business,3,C,Spring2020
LAW200,Legal Environment of Business,3,F,Spring2020
ACT202,Intro to Managerial Accounting,3,C-,Spring2020
