course_code,course_name,credits,grade,semester
MAT116,Pre-Calculus,3,C+,Spring2019
PHI104,Introduction to Ethics,3,A,Spring2019
CSE225L,Data Structures & Algorithms Lab,1,B+,Spring2019
EEE141,Electrical Circuits I,3,B,Spring2019
EEE141L,Electrical Circuits I Lab,1,B+,Spring2019
CSE327,Software Engineering,3,A-,Summer2019
CSE145,Introduction to Artificial Intelligence,3,B-,Summer2019
ENG103,Intermediate Composition,3,A-,Summer2019
MAT125,Linear Algebra,3,B,Summer2019
CHE101,Chemistry I,3,A-,Fall2019
CHE101L,Chemistry I Lab,1,A,Fall2019
EEE111L,Analog Electronics I Lab,1,C+,Fall2019
MAT120,Calculus I,3,B+,Fall2019
HIS101,Bangladesh History,3,B+,Spring2020
CSE425,Concepts of Programming Languages,3,B,Spring2020
CSE226,Fundamentals of Vibe Coding,3,B+,Spring2020
ECO328,Econometrics,3,C+,Summer2020
ECO304,International Economics,3,D+,Summer2020
ECO101,Intro to Microeconomics,3,C,Summer2020
MGT368,Entrepreneurship,3,A-,Fall2020
ECO301,Monetary Economics,3,C+,Fall2020
ECO450,Game Theory,3,B,Fall2020
MGT212,Principles of Management,3,A,Spring2021
ECO348,Mathematical Economics,3,B-,Spring2021
MKT202,Introduction to Marketing,3,C+,Spring2021
BUS251,Business Communication,3,C+,Spring2021
ECO244,Economic Development,3,B+,Summer2021
ECO415,Public Finance,3,B+,Summer2021
INB372,International Business,3,B-,Summer2021
ENG105,Advanced Composition,3,C+,Summer2021
ECO204,Intermediate Macroeconomics,3,B,Summer2021
PHI401,Ethics / Philosophy,3,B,Fall2021
MIS107,Introduction to Computers,3,F,Fall2021
MIS207,Management Information Systems,3,C-,Fall2021
LAW200,Legal Environment of Business,3,D+,Spring2022
ECO354,Advanced Microeconomics,3,A-,Spring2022
MIS107,Introduction to Computers,3,B+,Spring2022
ACT201,Intro to Financial Accounting,3,D,Spring2022
ECO201,Intermediate Microeconomics,3,C+,Summer2022
ECO441,Labor Economics,3,C+,Summer2022
ECO460,International Trade,3,C+,Summer2022
ECO104,Intro to Macroeconomics,3,A-,Summer2022
