course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,C-,Spring2019
MKT202,Introduction to Marketing,3,F,Spring2019
BUS251,Business Communication,3,D+,Spring2019
ACT201,Intro to Financial Accounting,3,I,Spring2019
ECO101,Intro to Microeconomics,3,D+,Spring2019
MKT202,Introduction to Marketing,3,D,Summer2019
MIS107,Introduction to Computers,3,D,Summer2019
ENG103,Intermediate Composition,3,C-,Summer2019
ECO104,Intro to Macroeconomics,3,I,Summer2019
MGT212,Principles of Management,3,C-,Fall2019
INB372,International Business,3,D+,Fall2019
MGT368,Entrepreneurship,3,D+,Fall2019
MIS207,Management Information Systems,3,D+,Fall2019
BEN205,Bengali Literature,3,F,Spring2020
ACT201,Intro to Financial Accounting,3,D,Spring2020
ENG105,Advanced Composition,3,D,Spring2020
ECO104,Intro to Macroeconomics,3,C-,Summer2020
ENG115,English Literature,3,D+,Summer2020
PHI401,Ethics / Philosophy,3,I,Summer2020
BEN205,Bengali Literature,3,C-,Summer2020
PAD201,Public Administration,3,F,Fall2020
ACT202,Intro to Managerial Accounting,3,D,Fall2020
PHI401,Ethics / Philosophy,3,F,Fall2020
PAD201,Public Administration,3,D+,Spring2021
SOC101,Intro to Sociology,3,F,Spring2021
POL101,Intro to Political Science,3,D,Spring2021
ENV107,Environmental Science,3,F,Summer2021
BIO103,Biology I,3,D+,Summer2021
BIO103L,Biology I Lab,1,C-,Summer2021
ANT101,Anthropology,3,D,Summer2021
PHI401,Ethics / Philosophy,3,D+,Summer2021
ACT320,Intermediate Accounting II,3,D+,Fall2021
HIS205,Modern History,3,C-,Fall2021
HIS101,Bangladesh History,3,C-,Fall2021
HIS103,History of South Asia,3,C-,Fall2021
