course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,T,Summer2019
ENG103,Intermediate Composition,3,T,Summer2019
ACT201,Intro to Financial Accounting,3,T,Fall2019
MKT202,Introduction to Marketing,3,B+,Fall2019
ECO104,Intro to Macroeconomics,3,B+,Spring2020
LAW200,Legal Environment of Business,3,A-,Spring2020
ACT202,Intro to Managerial Accounting,3,A-,Spring2020
BUS251,Business Communication,3,A,Summer2020
MIS207,Management Information Systems,3,C,Summer2020
INB372,International Business,3,A-,Summer2020
MGT212,Principles of Management,3,A,Fall2020
MIS107,Introduction to Computers,3,A-,Spring2021
PHI401,Ethics / Philosophy,3,T,Spring2021
ENG105,Advanced Composition,3,T,Summer2021
BEN205,Bengali Literature,3,A,Summer2021
POL104,Political Science,3,A,Fall2021
PAD201,Public Administration,3,B+,Fall2021
POL101,Intro to Political Science,3,C,Fall2021
ANT101,Anthropology,3,C,Spring2022
MGT368,Entrepreneurship,3,C+,Spring2022
PHY107,Physics I,3,B+,Summer2022
PHY107L,Physics I Lab,1,A-,Summer2022
ENV107,Environmental Science,3,B,Summer2022
ENV107L,Environmental Science Lab,1,A-,Summer2022
PBH101,Public Health,3,A-,Summer2022
