course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,C,Spring2021
CSE115,Programming Language I,3,F,Spring2021
MAT125,Linear Algebra,3,D,Spring2021
CSE115,Programming Language I,3,D+,Summer2021
CSE115L,Programming Language I Lab,1,C-,Summer2021
MAT130,Calculus II,3,D+,Summer2021
CSE101,Introduction to Python Programming,3,D,Summer2021
PHY108L,Physics II Lab,1,D+,Summer2021
CSE173,Discrete Mathematics,3,C+,Fall2021
MAT250,Calculus III,3,C-,Fall2021
PHI104,Introduction to Ethics,3,B-,Fall2021
CSE215,Programming Language II,3,C-,Spring2022
CSE215L,Programming Language II Lab,1,B,Spring2022
CSE215L,Programming Language II Lab,1,D+,Spring2022
MAT361,Discrete Mathematics II,3,C+,Spring2022
POL101,Intro to Political Science,3,D,Spring2022
