course_code,course_name,credits,grade,semester
INB372,International Business,3,B+,Summer2021
PHI401,Ethics / Philosophy,3,B+,Summer2021
ECO101,Intro to Microeconomics,3,B-,Summer2021
LAW200,Legal Environment of Business,3,B+,Fall2021
MGT368,Entrepreneurship,3,A-,Fall2021
MIS107,Introduction to Computers,3,C+,Fall2021
BUS251,Business Communication,3,B,Fall2021
ECO104,Intro to Macroeconomics,3,C,Spring2022
ACT201,Intro to Financial Accounting,3,C+,Spring2022
MKT202,Introduction to Marketing,3,C-,Spring2022
MGT212,Principles of Management,3,B+,Spring2022
MIS207,Management Information Systems,3,B-,Spring2022
CEE110,Engineering Drawing,1,C,Summer2022
PHY108,Physics II,3,A-,Summer2022
PHY108L,Physics II Lab,1,B+,Summer2022
ENG105,Advanced Composition,3,B+,Summer2022
PHY107L,Physics I Lab,1,C+,Summer2022
CSE226,Fundamentals of Vibe Coding,3,B-,Summer2022
CSE225L,Data Structures & Algorithms Lab,1,C-,Fall2022
EEE141,Electrical Circuits I,3,C,Fall2022
EEE141L,Electrical Circuits I Lab,1,B+,Fall2022
CSE115L,Programming Language I Lab,1,B,Fall2022
CSE331,Microprocessor Interfacing,3,A-,Fall2022
CSE331L,Microprocessor Interfacing Lab,1,C,Fall2022
CHE101L,Chemistry I Lab,1,F,Fall2022
CHE101,Chemistry I,3,D+,Spring2023
CHE101L,Chemistry I Lab,1,B+,Spring2023
CSE327,Software Engineering,3,C-,Spring2023
MAT116,Pre-Calculus,3,C,Spring2023
CSE145,Introduction to Artificial Intelligence,3,C,Spring2023
HIS102,World Civilization,3,B+,Spring2023
PHI104,Introduction to Ethics,3,F,Summer2023
CSE215L,Programming Language II Lab,1,B,Summer2023
CSE311L,Database Management Systems Lab,1,B+,Summer2023
MAT125,Linear Algebra,3,C+,Summer2023
BIO103L,Biology I Lab,1,B,Fall2023
CSE115,Programming Language I,3,W,Fall2023
CSE299,Junior Design Project,1,B,Fall2023
CSE231L,Digital Logic Design Lab,1,A,Fall2023
EEE111,Analog Electronics I,3,B-,Fall2023
EEE111L,Analog Electronics I Lab,1,C-,Fall2023
CSE101,Introduction to Python Programming,3,A-,Spring2024
HIS101,Bangladesh History,3,B+,Spring2024
EEE452,Engineering Economics,3,C,Spring2024
PHI104,Introduction to Ethics,3,A-,Spring2024
BIO103,Biology I,3,A-,Spring2024
CSE425,Concepts of Programming Languages,3,D+,Summer2024
MAT120,Calculus I,3,B-,Summer2024
ENG111,Public Speaking,3,A,Summer2024
CSE115,Programming Language I,3,B-,Summer2024
