course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B+,Spring2020
MKT202,Introduction to Marketing,3,A-,Spring2020
MIS107,Introduction to Computers,3,B+,Spring2020
ACT202,Intro to Managerial Accounting,3,C,Summer2020
ECO101,Intro to Microeconomics,3,B+,Summer2020
LAW200,Legal Environment of Business,3,A-,Summer2020
MIS207,Management Information Systems,3,A-,Fall2020
INB372,International Business,3,T,Fall2020
ECO104,Intro to Macroeconomics,3,B+,Fall2020
ENG103,Intermediate Composition,3,T,Spring2021
MGT212,Principles of Management,3,T,Spring2021
PHI401,Ethics / Philosophy,3,C,Spring2021
BUS251,Business Communication,3,A,Summer2021
MGT368,Entrepreneurship,3,T,Fall2021
ENG115,English Literature,3,T,Fall2021
PAD201,Public Administration,3,T,Spring2022
POL104,Political Science,3,B,Spring2022
ENG105,Advanced Composition,3,B+,Summer2022
SOC101,Intro to Sociology,3,T,Summer2022
ANT101,Anthropology,3,A,Summer2022
ENV107,Environmental Science,3,C+,Fall2022
ENV107L,Environmental Science Lab,1,B+,Fall2022
HIS102,World Civilization,3,C,Spring2023
HIS205,Modern History,3,T,Spring2023
MIS210,Computer Programming,3,B,Summer2023
