course_code,course_name,credits,grade,semester
CSE101,Introduction to Python Programming,3,A,Summer2020
ENG111,Public Speaking,3,C,Summer2020
CSE225L,Data Structures & Algorithms Lab,1,B,Summer2020
HIS102,World Civilization,3,A,Summer2020
CSE115L,Programming Language I Lab,1,B-,Fall2020
PHI104,Introduction to Ethics,3,A-,Fall2020
CHE101L,Chemistry I Lab,1,B-,Fall2020
CSE331,Microprocessor Interfacing,3,B,Fall2020
CSE331L,Microprocessor Interfacing Lab,1,B-,Fall2020
BIO103L,Biology I Lab,1,B,Spring2021
CSE231L,Digital Logic Design Lab,1,A,Spring2021
CSE299,Junior Design Project,1,C-,Spring2021
CSE115,Programming Language I,3,B,Spring2021
EEE141,Electrical Circuits I,3,B+,Spring2021
EEE141L,Electrical Circuits I Lab,1,B,Spring2021
INB372,International Business,3,C,Summer2021
ACT201,Intro to Financial Accounting,3,D,Summer2021
HRM470,Negotiations,3,B,Summer2021
ECO101,Intro to Microeconomics,3,D,Summer2021
HRM370,Managerial Skill Development,3,C+,Summer2021
MGT212,Principles of Management,3,C+,Fall2021
MIS320,IT for Managers,3,C-,Fall2021
MGT490,Project Management,3,W,Fall2021
MGT330,Designing Effective Organizations,3,C-,Spring2022
PHI401,Ethics / Philosophy,3,D+,Spring2022
ECO104,Intro to Macroeconomics,3,B-,Spring2022
LAW200,Legal Environment of Business,3,C,Spring2022
MIS107,Introduction to Computers,3,D,Summer2022
MIS207,Management Information Systems,3,D,Summer2022
MGT410,Entrepreneurship II,3,D+,Summer2022
BUS251,Business Communication,3,C-,Summer2022
MGT368,Entrepreneurship,3,W,Summer2022
ACT202,Intro to Managerial Accounting,3,F,Fall2022
MGT490,Project Management,3,B,Fall2022
HRM450,Industrial Relations,3,W,Fall2022
