course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,B+,Fall2023
CSE115,Programming Language I,3,C,Fall2023
CSE115L,Programming Language I Lab,1,B,Fall2023
CHE101L,Chemistry I Lab,1,B,Fall2023
CSE225L,Data Structures & Algorithms Lab,1,W,Fall2023
CSE173,Discrete Mathematics,3,A,Spring2024
MAT130,Calculus II,3,F,Spring2024
SOC101,Intro to Sociology,3,C+,Spring2024
CSE215,Programming Language II,3,C-,Summer2024
CSE215L,Programming Language II Lab,1,A-,Summer2024
MAT130,Calculus II,3,D,Summer2024
CSE331,Microprocessor Interfacing,3,F,Summer2024
CSE225,Data Structures & Algorithms,3,F,Fall2024
MAT250,Calculus III,3,C,Fall2024
CSE101,Introduction to Python Programming,3,B+,Fall2024
CSE311L,Database Management Systems Lab,1,B+,Fall2024
ECO101,Intro to Microeconomics,3,F,Fall2024
