course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,A-,Fall2021
CSE115L,Programming Language I Lab,1,T,Fall2021
MAT116,Pre-Calculus,3,C+,Fall2021
CHE101L,Chemistry I Lab,1,A,Fall2021
CSE173,Discrete Mathematics,3,A-,Spring2022
MAT120,Calculus I,3,A-,Summer2022
CSE215,Programming Language II,3,T,Summer2022
CSE215L,Programming Language II Lab,1,T,Summer2022
CSE225,Data Structures & Algorithms,3,B,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,C,Fall2022
MAT130,Calculus II,3,C,Fall2022
PHY108L,Physics II Lab,1,T,Fall2022
CSE231,Digital Logic Design,3,A,Spring2023
CSE332,Computer Organization & Architecture,3,B,Summer2023
MAT250,Calculus III,3,C+,Summer2023
EEE111L,Analog Electronics I Lab,1,T,Summer2023
CSE231L,Digital Logic Design Lab,1,A-,Fall2023
CSE299,Junior Design Project,1,A,Fall2023
BIO103,Biology I,3,C+,Fall2023
CSE311,Database Management Systems,3,B,Spring2024
CSE311L,Database Management Systems Lab,1,B+,Spring2024
CSE311L,Database Management Systems Lab,1,C,Spring2024
POL101,Intro to Political Science,3,T,Spring2024
CSE323,Operating Systems Design,3,T,Summer2024
CSE327,Software Engineering,3,A,Summer2024
ENG105,Advanced Composition,3,B,Summer2024
