course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,B+,Fall2019
MAT116,Pre-Calculus,3,A,Fall2019
BIO103,Biology I,3,C,Fall2019
BIO103L,Biology I Lab,1,B+,Fall2019
CSE145,Introduction to Artificial Intelligence,3,D+,Fall2019
CSE173,Discrete Mathematics,3,D,Spring2020
MAT120,Calculus I,3,B+,Spring2020
PHY108L,Physics II Lab,1,C,Spring2020
CSE215,Programming Language II,3,F,Summer2020
MAT130,Calculus II,3,D+,Summer2020
CSE215,Programming Language II,3,A-,Fall2020
CSE215L,Programming Language II Lab,1,A,Fall2020
MAT250,Calculus III,3,C+,Fall2020
CSE331,Microprocessor Interfacing,3,C+,Fall2020
CSE331L,Microprocessor Interfacing Lab,1,A-,Fall2020
