course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,W,Fall2023
CSE115,Programming Language I,3,B,Fall2023
CSE115L,Programming Language I Lab,1,B,Fall2023
CSE327,Software Engineering,3,B,Fall2023
CSE173,Discrete Mathematics,3,B-,Spring2024
MAT120,Calculus I,3,B-,Spring2024
POL101,Intro to Political Science,3,A-,Spring2024
CSE215,Programming Language II,3,B-,Summer2024
CSE215L,Programming Language II Lab,1,C,Summer2024
MAT130,Calculus II,3,B-,Summer2024
CSE225L,Data Structures & Algorithms Lab,1,B,Summer2024
EEE111,Analog Electronics I,3,B-,Summer2024
EEE111L,Analog Electronics I Lab,1,B+,Summer2024
