course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,T,Fall2019
MKT202,Introduction to Marketing,3,B+,Fall2019
ECO104,Intro to Macroeconomics,3,T,Spring2020
ENG103,Intermediate Composition,3,T,Spring2020
MIS107,Introduction to Computers,3,C+,Summer2020
BUS251,Business Communication,3,T,Summer2020
MGT212,Principles of Management,3,A,Fall2020
MIS207,Management Information Systems,3,B,Fall2020
LAW200,Legal Environment of Business,3,B,Fall2020
ACT201,Intro to Financial Accounting,3,C,Spring2021
MGT368,Entrepreneurship,3,B,Summer2021
INB372,International Business,3,T,Fall2021
ACT202,Intro to Managerial Accounting,3,C+,Spring2022
PHI401,Ethics / Philosophy,3,T,Spring2022
ENG105,Advanced Composition,3,B,Spring2022
BEN205,Bengali Literature,3,C+,Summer2022
POL101,Intro to Political Science,3,C,Summer2022
ANT101,Anthropology,3,B,Fall2022
PBH101,Public Health,3,B,Spring2023
PBH101L,Public Health Lab,1,B,Spring2023
