course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,C+,Spring2021
ENG103,Intermediate Composition,3,B+,Spring2021
MKT202,Introduction to Marketing,3,A,Spring2021
ACT201,Intro to Financial Accounting,3,C,Summer2021
LAW200,Legal Environment of Business,3,A-,Summer2021
INB372,International Business,3,B+,Summer2021
BUS251,Business Communication,3,C+,Summer2021
MIS107,Introduction to Computers,3,B+,Fall2021
ECO104,Intro to Macroeconomics,3,B-,Fall2021
MGT368,Entrepreneurship,3,B+,Fall2021
MIS207,Management Information Systems,3,B,Fall2021
ENG105,Advanced Composition,3,B-,Fall2021
CHN101,Chinese Language,3,B+,Spring2022
PHI401,Ethics / Philosophy,3,A,Spring2022
MGT212,Principles of Management,3,C+,Spring2022
BEN205,Bengali Literature,3,B-,Spring2022
POL101,Intro to Political Science,3,A-,Spring2022
BIO103,Biology I,3,A,Summer2022
GEO205,Geography,3,B-,Summer2022
PBH101,Public Health,3,A,Summer2022
PBH101L,Public Health Lab,1,C+,Summer2022
ENV107,Environmental Science,3,C,Summer2022
ENV107L,Environmental Science Lab,1,B+,Summer2022
ACT202,Intro to Managerial Accounting,3,B,Summer2022
HIS205,Modern History,3,B+,Fall2022
HIS103,History of South Asia,3,C+,Fall2022
HIS101,Bangladesh History,3,C+,Fall2022
ACT320,Intermediate Accounting II,3,B+,Fall2022
ACT460,Advanced Financial Accounting,3,A-,Spring2023
ACT310,Intermediate Accounting I,3,C-,Spring2023
ACT430,Accounting Information Systems,3,C+,Spring2023
ACT380,Audit and Assurance,3,B,Spring2023
ACT370,Taxation,3,C,Summer2023
ACT360,Advanced Managerial Accounting,3,A-,Summer2023
ACT410,Financial Statement Analysis,3,C+,Summer2023
BUS498,Internship,4,B+,Spring2024
