course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,F,Spring2020
CSE115,Programming Language I,3,I,Spring2020
ECO101,Intro to Microeconomics,3,D+,Spring2020
MAT120,Calculus I,3,F,Summer2020
CSE115,Programming Language I,3,D+,Summer2020
CSE115L,Programming Language I Lab,1,D,Summer2020
CSE173,Discrete Mathematics,3,D,Fall2020
MAT120,Calculus I,3,F,Fall2020
CSE327,Software Engineering,3,I,Fall2020
MAT120,Calculus I,3,D,Spring2021
CSE215,Programming Language II,3,D,Spring2021
CSE225,Data Structures & Algorithms,3,I,Summer2021
MAT130,Calculus II,3,D,Summer2021
CSE225,Data Structures & Algorithms,3,D+,Fall2021
CSE225L,Data Structures & Algorithms Lab,1,I,Fall2021
MAT250,Calculus III,3,F,Fall2021
POL101,Intro to Political Science,3,C-,Fall2021
CSE231,Digital Logic Design,3,D,Spring2022
MAT250,Calculus III,3,I,Spring2022
CSE215L,Programming Language II Lab,1,D+,Spring2022
CSE332,Computer Organization & Architecture,3,D,Summer2022
MAT250,Calculus III,3,F,Summer2022
CHE101L,Chemistry I Lab,1,D,Summer2022
