course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,D+,Spring2019
MKT202,Introduction to Marketing,3,F,Spring2019
ACT201,Intro to Financial Accounting,3,W,Spring2019
ECO104,Intro to Macroeconomics,3,F,Summer2019
ACT201,Intro to Financial Accounting,3,F,Summer2019
MIS107,Introduction to Computers,3,C,Summer2019
BUS251,Business Communication,3,C,Summer2019
LAW200,Legal Environment of Business,3,D,Fall2019
MIS207,Management Information Systems,3,F,Fall2019
ECO104,Intro to Macroeconomics,3,W,Fall2019
ACT201,Intro to Financial Accounting,3,C-,Fall2019
INB372,International Business,3,C-,Spring2020
ACT202,Intro to Managerial Accounting,3,D+,Spring2020
MKT202,Introduction to Marketing,3,C-,Summer2020
MIS207,Management Information Systems,3,C,Summer2020
MGT368,Entrepreneurship,3,D,Fall2020
PHI401,Ethics / Philosophy,3,W,Fall2020
MGT212,Principles of Management,3,D+,Fall2020
ENG115,English Literature,3,D,Fall2020
ECO104,Intro to Macroeconomics,3,C,Spring2021
PHI401,Ethics / Philosophy,3,C-,Spring2021
GEO205,Geography,3,D,Summer2021
POL104,Political Science,3,F,Summer2021
SOC101,Intro to Sociology,3,C-,Summer2021
PAD201,Public Administration,3,F,Summer2021
BIO103,Biology I,3,W,Fall2021
POL101,Intro to Political Science,3,D,Fall2021
POL104,Political Science,3,C-,Fall2021
ENV107,Environmental Science,3,F,Spring2022
PBH101,Public Health,3,F,Spring2022
PHY107,Physics I,3,C-,Spring2022
PHY107L,Physics I Lab,1,W,Spring2022
FIN433,Financial Markets and Institutions,3,W,Summer2022
FIN440,Corporate Finance,3,D,Summer2022
HIS102,World Civilization,3,F,Summer2022
HIS103,History of South Asia,3,D+,Summer2022
FIN433,Financial Markets and Institutions,3,F,Fall2022
FIN435,Investment Theory,3,D+,Fall2022
HIS101,Bangladesh History,3,F,Fall2022
HIS102,World Civilization,3,D+,Fall2022
FIN455,Financial Modelling Using Excel,3,F,Spring2023
FIN444,International Financial Management,3,C,Spring2023
FIN433,Financial Markets and Institutions,3,D+,Spring2023
FIN470,Insurance and Risk Management,3,F,Spring2023
FIN480,Behavioural Finance,3,C-,Summer2023
FIN410,Financial Statement Analysis,3,D+,Summer2023
FIN470,Insurance and Risk Management,3,C,Summer2023
FIN455,Financial Modelling Using Excel,3,F,Fall2023
FIN464,Derivatives,3,W,Fall2023
FIN464,Derivatives,3,F,Spring2024
FIN455,Financial Modelling Using Excel,3,W,Spring2024
FIN464,Derivatives,3,D+,Summer2024
FIN455,Financial Modelling Using Excel,3,D+,Summer2024
