course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,D+,Spring2019
ACT201,Intro to Financial Accounting,3,D+,Spring2019
MKT202,Introduction to Marketing,3,D+,Spring2019
MIS107,Introduction to Computers,3,C,Summer2019
BUS251,Business Communication,3,D+,Summer2019
ECO104,Intro to Macroeconomics,3,D,Summer2019
ENG103,Intermediate Composition,3,F,Summer2019
LAW200,Legal Environment of Business,3,F,Fall2019
ENG103,Intermediate Composition,3,D,Fall2019
MIS207,Management Information Systems,3,D+,Fall2019
INB372,International Business,3,W,Spring2020
PHI401,Ethics / Philosophy,3,W,Spring2020
ACT202,Intro to Managerial Accounting,3,F,Spring2020
LAW200,Legal Environment of Business,3,F,Spring2020
MGT212,Principles of Management,3,F,Spring2020
ACT202,Intro to Managerial Accounting,3,D+,Summer2020
MGT212,Principles of Management,3,D,Summer2020
MGT368,Entrepreneurship,3,C-,Summer2020
BEN205,Bengali Literature,3,D+,Fall2020
LAW200,Legal Environment of Business,3,F,Fall2020
ENG105,Advanced Composition,3,F,Fall2020
INB372,International Business,3,F,Spring2021
LAW200,Legal Environment of Business,3,D+,Spring2021
POL101,Intro to Political Science,3,W,Spring2021
PAD201,Public Administration,3,D,Summer2021
SOC101,Intro to Sociology,3,F,Summer2021
POL101,Intro to Political Science,3,W,Summer2021
INB372,International Business,3,C-,Summer2021
ENG105,Advanced Composition,3,D,Summer2021
ANT101,Anthropology,3,F,Fall2021
GEO205,Geography,3,F,Fall2021
SOC101,Intro to Sociology,3,D,Fall2021
ENV107,Environmental Science,3,C-,Spring2022
ENV107L,Environmental Science Lab,1,F,Spring2022
BIO103,Biology I,3,C,Spring2022
BIO103L,Biology I Lab,1,W,Spring2022
PBH101,Public Health,3,C,Spring2022
PBH101L,Public Health Lab,1,W,Spring2022
PHY107,Physics I,3,D+,Spring2022
HRM340,Training and Development,3,D+,Summer2022
HIS103,History of South Asia,3,D,Summer2022
HIS102,World Civilization,3,C,Summer2022
HIS101,Bangladesh History,3,F,Summer2022
HRM360,Planning and Staffing,3,C,Summer2022
