course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,F,Fall2019
CSE115,Programming Language I,3,D,Fall2019
CSE115L,Programming Language I Lab,1,F,Fall2019
CSE231L,Digital Logic Design Lab,1,I,Fall2019
HIS102,World Civilization,3,F,Fall2019
CSE173,Discrete Mathematics,3,C-,Spring2020
MAT120,Calculus I,3,F,Spring2020
PHI104,Introduction to Ethics,3,C-,Spring2020
EEE141,Electrical Circuits I,3,C-,Spring2020
MAT120,Calculus I,3,F,Summer2020
CSE215,Programming Language II,3,D+,Summer2020
CSE215L,Programming Language II Lab,1,C-,Summer2020
SOC101,Intro to Sociology,3,F,Summer2020
CSE225,Data Structures & Algorithms,3,F,Fall2020
MAT120,Calculus I,3,F,Fall2020
CSE225,Data Structures & Algorithms,3,F,Spring2021
MAT120,Calculus I,3,F,Spring2021
PHY108L,Physics II Lab,1,D+,Spring2021
CSE225,Data Structures & Algorithms,3,F,Summer2021
MAT120,Calculus I,3,D,Summer2021
EEE141L,Electrical Circuits I Lab,1,C-,Summer2021
CHE101,Chemistry I,3,F,Summer2021
CSE225,Data Structures & Algorithms,3,C-,Fall2021
MAT130,Calculus II,3,D,Fall2021
CSE231,Digital Logic Design,3,D,Spring2022
CSE231L,Digital Logic Design Lab,1,F,Spring2022
MAT250,Calculus III,3,F,Spring2022
BIO103,Biology I,3,D+,Spring2022
BIO103L,Biology I Lab,1,D+,Spring2022
CSE332,Computer Organization & Architecture,3,F,Summer2022
MAT250,Calculus III,3,F,Summer2022
CSE332,Computer Organization & Architecture,3,C-,Fall2022
MAT250,Calculus III,3,F,Fall2022
ANT101,Anthropology,3,D,Fall2022
