course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,B-,Fall2019
ACT201,Intro to Financial Accounting,3,C-,Fall2019
BUS251,Business Communication,3,C,Fall2019
ENG103,Intermediate Composition,3,B,Fall2019
ECO101,Intro to Microeconomics,3,B-,Spring2020
MGT212,Principles of Management,3,A-,Spring2020
INB372,International Business,3,B,Spring2020
LAW200,Legal Environment of Business,3,D,Spring2020
ACT202,Intro to Managerial Accounting,3,C+,Spring2020
MGT368,Entrepreneurship,3,C-,Summer2020
MIS207,Management Information Systems,3,D+,Summer2020
ECO104,Intro to Macroeconomics,3,A,Summer2020
ENG105,Advanced Composition,3,D+,Fall2020
POL101,Intro to Political Science,3,B-,Fall2020
ENG115,English Literature,3,B,Fall2020
BEN205,Bengali Literature,3,B,Fall2020
PHI401,Ethics / Philosophy,3,B-,Fall2020
MIS107,Introduction to Computers,3,C+,Spring2021
SOC101,Intro to Sociology,3,B,Spring2021
BIO103,Biology I,3,F,Spring2021
HIS101,Bangladesh History,3,B+,Summer2021
PSY101,Intro to Psychology,3,D,Summer2021
PSY101L,Psychology Lab,1,D+,Summer2021
PHY107,Physics I,3,C,Summer2021
PHY107L,Physics I Lab,1,C-,Summer2021
BIO103,Biology I,3,B,Summer2021
BIO103L,Biology I Lab,1,D,Summer2021
PBH101,Public Health,3,A,Summer2021
PBH101L,Public Health Lab,1,B-,Summer2021
HIS103,History of South Asia,3,C-,Fall2021
FIN435,Investment Theory,3,D,Fall2021
HIS205,Modern History,3,B-,Fall2021
FIN440,Corporate Finance,3,W,Fall2021
FIN433,Financial Markets and Institutions,3,C+,Spring2022
FIN455,Financial Modelling Using Excel,3,W,Spring2022
FIN444,International Financial Management,3,B+,Spring2022
FIN464,Derivatives,3,C,Summer2022
FIN480,Behavioural Finance,3,A,Summer2022
FIN455,Financial Modelling Using Excel,3,C,Summer2022
BUS498,Internship,4,A-,Summer2022
