course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C,Spring2019
CSE115L,Programming Language I Lab,1,D,Spring2019
MAT116,Pre-Calculus,3,B,Spring2019
HIS101,Bangladesh History,3,D+,Spring2019
CSE173,Discrete Mathematics,3,C+,Summer2019
MAT120,Calculus I,3,C+,Summer2019
PHY108L,Physics II Lab,1,D,Summer2019
CSE215,Programming Language II,3,F,Fall2019
MAT130,Calculus II,3,D,Fall2019
CSE425,Concepts of Programming Languages,3,D,Fall2019
CSE215,Programming Language II,3,D,Spring2020
CSE215L,Programming Language II Lab,1,D,Spring2020
MAT250,Calculus III,3,C+,Spring2020
EEE452,Engineering Economics,3,F,Spring2020
CSE299,Junior Design Project,1,D,Spring2020
CSE225,Data Structures & Algorithms,3,C,Summer2020
CSE225L,Data Structures & Algorithms Lab,1,D+,Summer2020
CSE225L,Data Structures & Algorithms Lab,1,C,Summer2020
ENG105,Advanced Composition,3,B-,Summer2020
CSE231,Digital Logic Design,3,C-,Fall2020
CSE231L,Digital Logic Design Lab,1,C+,Fall2020
CSE231L,Digital Logic Design Lab,1,C-,Fall2020
EEE141,Electrical Circuits I,3,F,Fall2020
CSE331L,Microprocessor Interfacing Lab,1,D+,Fall2020
CSE332,Computer Organization & Architecture,3,C+,Spring2021
CSE311,Database Management Systems,3,D,Spring2021
CSE311L,Database Management Systems Lab,1,B,Spring2021
PHY107L,Physics I Lab,1,F,Spring2021
PHI104,Introduction to Ethics,3,F,Spring2021
