course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,F,Spring2020
ECO101,Intro to Microeconomics,3,B+,Spring2020
MKT202,Introduction to Marketing,3,B,Spring2020
ECO104,Intro to Macroeconomics,3,W,Summer2020
BUS251,Business Communication,3,B+,Summer2020
MIS107,Introduction to Computers,3,B+,Summer2020
LAW200,Legal Environment of Business,3,F,Fall2020
ACT201,Intro to Financial Accounting,3,A,Fall2020
ECO104,Intro to Macroeconomics,3,C+,Fall2020
MGT212,Principles of Management,3,W,Spring2021
LAW200,Legal Environment of Business,3,B+,Spring2021
ACT202,Intro to Managerial Accounting,3,B+,Spring2021
MIS207,Management Information Systems,3,W,Spring2021
INB372,International Business,3,B,Summer2021
BEN205,Bengali Literature,3,W,Summer2021
MIS207,Management Information Systems,3,C,Summer2021
MGT368,Entrepreneurship,3,C+,Summer2021
PHI401,Ethics / Philosophy,3,W,Summer2021
BEN205,Bengali Literature,3,F,Fall2021
ENG103,Intermediate Composition,3,B,Fall2021
ENG115,English Literature,3,W,Fall2021
PHI401,Ethics / Philosophy,3,W,Fall2021
MGT212,Principles of Management,3,W,Fall2021
MGT212,Principles of Management,3,B,Spring2022
ENG115,English Literature,3,W,Spring2022
CHN101,Chinese Language,3,W,Spring2022
BEN205,Bengali Literature,3,B,Spring2022
PHI401,Ethics / Philosophy,3,W,Summer2022
POL104,Political Science,3,C+,Summer2022
ENG105,Advanced Composition,3,C+,Summer2022
