course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,C+,Spring2022
MIS107,Introduction to Computers,3,A,Spring2022
BUS251,Business Communication,3,B-,Spring2022
ECO104,Intro to Macroeconomics,3,B+,Summer2022
MKT202,Introduction to Marketing,3,D,Summer2022
ACT201,Intro to Financial Accounting,3,D+,Summer2022
MIS207,Management Information Systems,3,A-,Summer2022
INB372,International Business,3,F,Summer2022
INB372,International Business,3,C,Fall2022
ACT202,Intro to Managerial Accounting,3,D,Fall2022
MGT368,Entrepreneurship,3,B,Fall2022
BEN205,Bengali Literature,3,D,Fall2022
PHI401,Ethics / Philosophy,3,B,Fall2022
POL101,Intro to Political Science,3,C+,Spring2023
MGT212,Principles of Management,3,A-,Spring2023
LAW200,Legal Environment of Business,3,C+,Spring2023
PAD201,Public Administration,3,B-,Spring2023
SOC101,Intro to Sociology,3,C+,Spring2023
PBH101,Public Health,3,A-,Summer2023
PBH101L,Public Health Lab,1,C-,Summer2023
BIO103,Biology I,3,C+,Summer2023
BIO103L,Biology I Lab,1,B+,Summer2023
ENV107,Environmental Science,3,A-,Summer2023
ENV107L,Environmental Science Lab,1,A-,Summer2023
PSY101,Intro to Psychology,3,A-,Summer2023
PSY101L,Psychology Lab,1,F,Summer2023
PHY107,Physics I,3,F,Summer2023
ACT310,Intermediate Accounting I,3,C+,Fall2023
HIS103,History of South Asia,3,C,Fall2023
HIS102,World Civilization,3,B,Fall2023
ACT410,Financial Statement Analysis,3,A,Spring2024
ACT380,Audit and Assurance,3,D,Spring2024
ACT430,Accounting Information Systems,3,C+,Spring2024
ACT360,Advanced Managerial Accounting,3,C-,Spring2024
ACT320,Intermediate Accounting II,3,B,Spring2024
ACT370,Taxation,3,D,Summer2024
ACT460,Advanced Financial Accounting,3,C,Summer2024
