course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,D,Summer2020
ENG103,Intermediate Composition,3,B-,Summer2020
MKT202,Introduction to Marketing,3,C-,Summer2020
ACT201,Intro to Financial Accounting,3,F,Summer2020
ACT201,Intro to Financial Accounting,3,W,Fall2020
INB372,International Business,3,C+,Fall2020
BUS251,Business Communication,3,A,Fall2020
LAW200,Legal Environment of Business,3,B-,Spring2021
ECO101,Intro to Microeconomics,3,D+,Spring2021
MGT212,Principles of Management,3,B-,Spring2021
MIS207,Management Information Systems,3,F,Spring2021
BEN205,Bengali Literature,3,C,Summer2021
MIS207,Management Information Systems,3,A-,Summer2021
MGT368,Entrepreneurship,3,C+,Summer2021
ACT201,Intro to Financial Accounting,3,B,Summer2021
PHI401,Ethics / Philosophy,3,C+,Summer2021
POL104,Political Science,3,B,Fall2021
POL101,Intro to Political Science,3,A-,Fall2021
ECO104,Intro to Macroeconomics,3,A,Fall2021
BIO103,Biology I,3,A,Spring2022
ACT202,Intro to Managerial Accounting,3,A,Spring2022
ANT101,Anthropology,3,C,Spring2022
GEO205,Geography,3,B,Spring2022
