course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C-,Summer2021
MAT116,Pre-Calculus,3,C,Summer2021
CSE173,Discrete Mathematics,3,F,Fall2021
MAT120,Calculus I,3,C,Fall2021
CSE173,Discrete Mathematics,3,W,Spring2022
MAT130,Calculus II,3,C-,Spring2022
BIO103L,Biology I Lab,1,W,Spring2022
CSE226,Fundamentals of Vibe Coding,3,D+,Spring2022
CSE173,Discrete Mathematics,3,F,Summer2022
MAT250,Calculus III,3,C,Summer2022
CSE173,Discrete Mathematics,3,F,Fall2022
CSE215L,Programming Language II Lab,1,F,Fall2022
CSE173,Discrete Mathematics,3,D,Spring2023
CSE215L,Programming Language II Lab,1,D+,Spring2023
CSE215,Programming Language II,3,C,Summer2023
CSE225L,Data Structures & Algorithms Lab,1,D,Summer2023
CSE311L,Database Management Systems Lab,1,D,Summer2023
EEE141,Electrical Circuits I,3,C,Summer2023
CSE225,Data Structures & Algorithms,3,W,Fall2023
CSE231L,Digital Logic Design Lab,1,C,Fall2023
CSE225,Data Structures & Algorithms,3,C-,Spring2024
CSE299,Junior Design Project,1,F,Spring2024
POL104,Political Science,3,F,Spring2024
