course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,A-,Summer2020
ECO101,Intro to Microeconomics,3,B,Summer2020
BUS251,Business Communication,3,B,Summer2020
MKT202,Introduction to Marketing,3,D,Summer2020
MIS107,Introduction to Computers,3,C,Summer2020
ECO104,Intro to Macroeconomics,3,B,Fall2020
MIS207,Management Information Systems,3,C+,Fall2020
ACT202,Intro to Managerial Accounting,3,B-,Fall2020
MGT212,Principles of Management,3,C+,Fall2020
INB372,International Business,3,C-,Fall2020
PHI401,Ethics / Philosophy,3,A-,Spring2021
LAW200,Legal Environment of Business,3,A-,Spring2021
BEN205,Bengali Literature,3,B+,Spring2021
ENG103,Intermediate Composition,3,B,Spring2021
ENG115,English Literature,3,F,Spring2021
SOC101,Intro to Sociology,3,B,Summer2021
POL104,Political Science,3,B-,Summer2021
POL101,Intro to Political Science,3,C+,Summer2021
PAD201,Public Administration,3,W,Summer2021
ENV107,Environmental Science,3,C,Fall2021
PSY101,Intro to Psychology,3,B+,Fall2021
PSY101L,Psychology Lab,1,A,Fall2021
BIO103,Biology I,3,C+,Fall2021
PBH101,Public Health,3,A-,Fall2021
PBH101L,Public Health Lab,1,B+,Fall2021
MGT368,Entrepreneurship,3,B+,Spring2022
HIS101,Bangladesh History,3,C,Spring2022
HIS103,History of South Asia,3,F,Spring2022
INB400,International Trade and Finance,3,A-,Summer2022
INB490,Cross-Cultural Management,3,A,Summer2022
INB480,Global Business Strategy,3,B,Summer2022
HIS103,History of South Asia,3,A-,Summer2022
HIS205,Modern History,3,C-,Summer2022
MKT382,International Marketing,3,A-,Fall2022
ENG105,Advanced Composition,3,C+,Fall2022
INB350,International Business Negotiation,3,A-,Fall2022
INB410,International Competitiveness,3,D+,Fall2022
INB355,Country Risk Analysis,3,F,Fall2022
