course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,W,Fall2019
MIS107,Introduction to Computers,3,B,Fall2019
ENG103,Intermediate Composition,3,D,Fall2019
MKT202,Introduction to Marketing,3,C,Spring2020
ECO101,Intro to Microeconomics,3,B,Spring2020
BUS251,Business Communication,3,B+,Spring2020
LAW200,Legal Environment of Business,3,A-,Spring2020
INB372,International Business,3,B-,Summer2020
ACT201,Intro to Financial Accounting,3,D,Summer2020
MIS207,Management Information Systems,3,C+,Summer2020
ECO104,Intro to Macroeconomics,3,F,Fall2020
ENG105,Advanced Composition,3,C+,Fall2020
ACT202,Intro to Managerial Accounting,3,A-,Fall2020
PHI401,Ethics / Philosophy,3,B-,Fall2020
BEN205,Bengali Literature,3,C+,Spring2021
ENG115,English Literature,3,A-,Spring2021
MGT212,Principles of Management,3,C+,Spring2021
CHN101,Chinese Language,3,A-,Spring2021
POL101,Intro to Political Science,3,D,Summer2021
PAD201,Public Administration,3,B-,Summer2021
ECO104,Intro to Macroeconomics,3,C,Summer2021
