course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,A,Fall2019
CSE115L,Programming Language I Lab,1,B+,Fall2019
MAT116,Pre-Calculus,3,A-,Fall2019
CSE425,Concepts of Programming Languages,3,B+,Fall2019
PHY107L,Physics I Lab,1,A-,Fall2019
CSE101,Introduction to Python Programming,3,A,Fall2019
GEO205,Geography,3,A,Fall2019
CSE173,Discrete Mathematics,3,A,Spring2020
MAT120,Calculus I,3,B+,Spring2020
PHI104,Introduction to Ethics,3,A-,Spring2020
CSE225L,Data Structures & Algorithms Lab,1,A-,Spring2020
CHE101L,Chemistry I Lab,1,A-,Spring2020
CSE215,Programming Language II,3,A-,Summer2020
MAT130,Calculus II,3,B,Summer2020
CHE101,Chemistry I,3,A,Summer2020
MAT361,Discrete Mathematics II,3,A-,Summer2020
