course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,F,Spring2023
MKT202,Introduction to Marketing,3,C-,Spring2023
BUS251,Business Communication,3,W,Spring2023
ACT201,Intro to Financial Accounting,3,W,Summer2023
MIS107,Introduction to Computers,3,F,Summer2023
BUS251,Business Communication,3,D,Summer2023
LAW200,Legal Environment of Business,3,C-,Summer2023
MIS207,Management Information Systems,3,D,Fall2023
ECO101,Intro to Microeconomics,3,D+,Fall2023
ACT201,Intro to Financial Accounting,3,D+,Fall2023
MIS107,Introduction to Computers,3,C-,Spring2024
MGT368,Entrepreneurship,3,F,Spring2024
MGT212,Principles of Management,3,F,Spring2024
ACT202,Intro to Managerial Accounting,3,F,Spring2024
INB372,International Business,3,F,Spring2024
ACT202,Intro to Managerial Accounting,3,C-,Summer2024
INB372,International Business,3,F,Summer2024
MGT212,Principles of Management,3,C-,Summer2024
