course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,D,Fall2019
ENG103,Intermediate Composition,3,D+,Spring2020
BUS251,Business Communication,3,D,Spring2020
ACT201,Intro to Financial Accounting,3,D+,Spring2020
INB372,International Business,3,D,Summer2020
LAW200,Legal Environment of Business,3,F,Summer2020
ECO101,Intro to Microeconomics,3,I,Summer2020
ACT202,Intro to Managerial Accounting,3,F,Fall2020
MIS107,Introduction to Computers,3,D+,Spring2021
MIS207,Management Information Systems,3,F,Summer2021
LAW200,Legal Environment of Business,3,F,Summer2021
LAW200,Legal Environment of Business,3,I,Fall2021
ECO101,Intro to Microeconomics,3,D,Fall2021
ACT202,Intro to Managerial Accounting,3,D+,Spring2022
LAW200,Legal Environment of Business,3,F,Spring2022
LAW200,Legal Environment of Business,3,I,Summer2022
MGT212,Principles of Management,3,I,Summer2022
ECO104,Intro to Macroeconomics,3,D+,Summer2022
LAW200,Legal Environment of Business,3,D,Fall2022
MGT368,Entrepreneurship,3,D,Fall2022
MIS207,Management Information Systems,3,F,Spring2023
MIS207,Management Information Systems,3,F,Summer2023
MGT212,Principles of Management,3,D+,Summer2023
PHI401,Ethics / Philosophy,3,D,Summer2023
MIS207,Management Information Systems,3,D+,Fall2023
ENG105,Advanced Composition,3,F,Spring2024
ENG115,English Literature,3,D,Spring2024
ENG105,Advanced Composition,3,C-,Summer2024
SOC101,Intro to Sociology,3,C-,Summer2024
PAD201,Public Administration,3,F,Summer2024
ENV107,Environmental Science,3,D,Fall2024
ENV107L,Environmental Science Lab,1,F,Fall2024
BIO103,Biology I,3,D+,Fall2024
BIO103L,Biology I Lab,1,D+,Fall2024
POL104,Political Science,3,F,Fall2024
