course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,B,Fall2020
CSE115L,Programming Language I Lab,1,A-,Fall2020
MAT116,Pre-Calculus,3,B-,Fall2020
CSE299,Junior Design Project,1,B,Fall2020
CEE110,Engineering Drawing,1,C,Fall2020
CSE115L,Programming Language I Lab,1,C,Fall2020
PHI104,Introduction to Ethics,3,B-,Fall2020
CSE173,Discrete Mathematics,3,A,Spring2021
MAT120,Calculus I,3,B-,Spring2021
ENV203,Environmental Studies,3,B-,Spring2021
HIS102,World Civilization,3,B-,Spring2021
SOC101,Intro to Sociology,3,B-,Spring2021
CSE215,Programming Language II,3,A-,Summer2021
CSE215L,Programming Language II Lab,1,B+,Summer2021
MAT130,Calculus II,3,B+,Summer2021
CSE231L,Digital Logic Design Lab,1,B,Summer2021
CSE101,Introduction to Python Programming,3,B+,Summer2021
CHE101L,Chemistry I Lab,1,B+,Summer2021
HIS101,Bangladesh History,3,B+,Summer2021
CSE225,Data Structures & Algorithms,3,C-,Fall2021
CSE225L,Data Structures & Algorithms Lab,1,C+,Fall2021
MAT250,Calculus III,3,B+,Fall2021
POL101,Intro to Political Science,3,B+,Fall2021
ENG103,Intermediate Composition,3,B+,Fall2021
CSE231,Digital Logic Design,3,B,Spring2022
CSE311,Database Management Systems,3,A-,Spring2022
CSE311L,Database Management Systems Lab,1,A-,Spring2022
BIO103L,Biology I Lab,1,A-,Spring2022
CSE226,Fundamentals of Vibe Coding,3,B,Spring2022
PHY108L,Physics II Lab,1,B+,Spring2022
CSE332,Computer Organization & Architecture,3,A-,Summer2022
CSE327,Software Engineering,3,B+,Summer2022
CSE421,Machine Learning,3,B,Summer2022
EEE141,Electrical Circuits I,3,B,Summer2022
EEE141L,Electrical Circuits I Lab,1,B-,Summer2022
