course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,F,Spring2019
LAW200,Legal Environment of Business,3,W,Spring2019
MKT202,Introduction to Marketing,3,C-,Spring2019
BUS251,Business Communication,3,D+,Spring2019
LAW200,Legal Environment of Business,3,C-,Summer2019
MIS107,Introduction to Computers,3,D,Summer2019
MIS207,Management Information Systems,3,C,Fall2019
ECO101,Intro to Microeconomics,3,D,Fall2019
ACT201,Intro to Financial Accounting,3,C,Fall2019
MGT212,Principles of Management,3,D,Fall2019
PHI401,Ethics / Philosophy,3,F,Spring2020
ACT202,Intro to Managerial Accounting,3,W,Spring2020
MGT368,Entrepreneurship,3,C-,Spring2020
BEN205,Bengali Literature,3,D+,Summer2020
INB372,International Business,3,D,Summer2020
ENG115,English Literature,3,F,Summer2020
ACT202,Intro to Managerial Accounting,3,D,Summer2020
ECO104,Intro to Macroeconomics,3,D,Fall2020
POL104,Political Science,3,C-,Fall2020
PAD201,Public Administration,3,D,Fall2020
ANT101,Anthropology,3,C-,Spring2021
PHI401,Ethics / Philosophy,3,F,Spring2021
BIO103,Biology I,3,F,Summer2021
PHI401,Ethics / Philosophy,3,F,Summer2021
ENV107,Environmental Science,3,W,Summer2021
ENV107,Environmental Science,3,C,Fall2021
ENV107L,Environmental Science Lab,1,W,Fall2021
PSY101,Intro to Psychology,3,D,Fall2021
BIO103,Biology I,3,W,Fall2021
HIS102,World Civilization,3,D+,Spring2022
HIS101,Bangladesh History,3,C-,Spring2022
PHI401,Ethics / Philosophy,3,C-,Summer2022
MKT470,Marketing Research,3,W,Summer2022
MKT337,Promotional Management,3,D+,Summer2022
MKT460,Strategic Marketing,3,D+,Fall2022
MKT470,Marketing Research,3,F,Fall2022
MKT465,Brand Management,3,W,Spring2023
MKT470,Marketing Research,3,F,Spring2023
MKT382,International Marketing,3,C,Spring2023
MKT417,Export-Import Management,3,F,Summer2023
MKT412,Services Marketing,3,F,Summer2023
MKT330,Retail Management,3,D+,Summer2023
MKT470,Marketing Research,3,F,Summer2023
MKT465,Brand Management,3,D,Fall2023
MKT412,Services Marketing,3,C,Fall2023
MKT470,Marketing Research,3,C,Spring2024
MKT450,Marketing Channels,3,F,Spring2024
MKT417,Export-Import Management,3,C-,Spring2024
MKT445,Sales Management,3,F,Summer2024
MKT355,Agricultural Marketing,3,W,Summer2024
MKT475,Marketing Analytics,3,C,Fall2024
MKT344,Consumer Behaviour,3,C-,Fall2024
MKT450,Marketing Channels,3,W,Fall2024
