course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C,Summer2021
CSE115L,Programming Language I Lab,1,A,Summer2021
MAT116,Pre-Calculus,3,B-,Summer2021
EEE111L,Analog Electronics I Lab,1,B+,Summer2021
HIS101,Bangladesh History,3,B,Summer2021
CSE215L,Programming Language II Lab,1,D,Summer2021
CSE173,Discrete Mathematics,3,D,Fall2021
MAT120,Calculus I,3,D+,Fall2021
PHY107L,Physics I Lab,1,A-,Fall2021
CSE145,Introduction to Artificial Intelligence,3,B+,Fall2021
CSE331L,Microprocessor Interfacing Lab,1,B-,Fall2021
CSE215,Programming Language II,3,C-,Spring2022
MAT130,Calculus II,3,B,Spring2022
ECO101,Intro to Microeconomics,3,D+,Spring2022
CSE425,Concepts of Programming Languages,3,W,Spring2022
MAT125,Linear Algebra,3,C+,Spring2022
CSE225,Data Structures & Algorithms,3,C+,Summer2022
CSE225L,Data Structures & Algorithms Lab,1,A,Summer2022
MAT250,Calculus III,3,B+,Summer2022
CSE231L,Digital Logic Design Lab,1,F,Summer2022
PHY108,Physics II,3,C-,Summer2022
PHY108L,Physics II Lab,1,C+,Summer2022
CSE231,Digital Logic Design,3,F,Fall2022
CSE231L,Digital Logic Design Lab,1,D+,Fall2022
EEE141,Electrical Circuits I,3,C,Fall2022
EEE141L,Electrical Circuits I Lab,1,B,Fall2022
EEE141L,Electrical Circuits I Lab,1,F,Fall2022
CSE231,Digital Logic Design,3,C+,Spring2023
CSE299,Junior Design Project,1,B-,Spring2023
EEE111,Analog Electronics I,3,C+,Spring2023
ENV203,Environmental Studies,3,B+,Spring2023
