course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,D+,Fall2020
CSE115,Programming Language I,3,W,Fall2020
HIS102,World Civilization,3,C-,Fall2020
ECO101,Intro to Microeconomics,3,C,Fall2020
CSE115,Programming Language I,3,C-,Spring2021
CSE115L,Programming Language I Lab,1,F,Spring2021
MAT130,Calculus II,3,F,Spring2021
CSE425,Concepts of Programming Languages,3,F,Spring2021
CSE173,Discrete Mathematics,3,F,Summer2021
MAT130,Calculus II,3,F,Summer2021
PHY107,Physics I,3,D+,Summer2021
PHY107L,Physics I Lab,1,D+,Summer2021
CSE101,Introduction to Python Programming,3,F,Summer2021
CSE173,Discrete Mathematics,3,C-,Fall2021
MAT130,Calculus II,3,D+,Fall2021
CSE101,Introduction to Python Programming,3,C-,Fall2021
CSE225L,Data Structures & Algorithms Lab,1,D,Fall2021
CSE115L,Programming Language I Lab,1,C,Fall2021
CSE215,Programming Language II,3,C,Spring2022
CSE215L,Programming Language II Lab,1,D+,Spring2022
MAT250,Calculus III,3,D+,Spring2022
EEE141,Electrical Circuits I,3,D+,Spring2022
EEE141L,Electrical Circuits I Lab,1,W,Spring2022
EEE111,Analog Electronics I,3,D+,Spring2022
EEE111L,Analog Electronics I Lab,1,F,Spring2022
EEE111L,Analog Electronics I Lab,1,C,Spring2022
CSE225,Data Structures & Algorithms,3,F,Summer2022
CSE231L,Digital Logic Design Lab,1,C-,Summer2022
BIO103,Biology I,3,F,Summer2022
CSE225,Data Structures & Algorithms,3,C-,Fall2022
CSE299,Junior Design Project,1,D,Fall2022
CSE331L,Microprocessor Interfacing Lab,1,F,Fall2022
ENV203,Environmental Studies,3,D,Fall2022
CSE231,Digital Logic Design,3,W,Spring2023
CSE311,Database Management Systems,3,F,Spring2023
ENG105,Advanced Composition,3,D,Spring2023
ENG103,Intermediate Composition,3,F,Spring2023
CSE231,Digital Logic Design,3,C-,Summer2023
CSE311,Database Management Systems,3,D+,Summer2023
CSE311L,Database Management Systems Lab,1,F,Summer2023
CSE373,Design & Analysis of Algorithms,3,C-,Summer2023
CSE332,Computer Organization & Architecture,3,F,Fall2023
CSE311L,Database Management Systems Lab,1,F,Fall2023
PHY108L,Physics II Lab,1,D,Fall2023
HIS201,Modern History,3,C-,Fall2023
CSE332,Computer Organization & Architecture,3,D,Spring2024
CSE311L,Database Management Systems Lab,1,C,Spring2024
CSE471,Compiler Design,3,W,Spring2024
CSE323,Operating Systems Design,3,C,Summer2024
CSE327,Software Engineering,3,D+,Summer2024
CSE445,Computer Vision,3,C,Summer2024
EEE141L,Electrical Circuits I Lab,1,W,Summer2024
SOC201,Social Theory,3,F,Summer2024
